ptop1,ptop2,id
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
.155,.155,18
0,0,18
0,0,18
0,0,18
0,0,18
.229,.229,19
.229,.229,19
.011,.011,19
.229,.229,19
.0049999999,.0049999999,19
.011,.011,19
.011,.011,19
.0049999999,.0049999999,19
.001,.001,19
.0049999999,.0049999999,19
.017000001,.017000001,20
0,0,20
0,0,20
.50700003,.50700003,20
.030999999,.030999999,20
0,0,20
.088,.088,20
.41800001,.41800001,20
.65600002,.65600002,20
0,0,20
.26300001,.26300001,20
0,0,20
.38,.38,20
.211,.211,20
0,0,20
.46700001,.46700001,21
.034000002,.034000002,21
0,0,21
.0020000001,.0020000001,21
.0020000001,.0020000001,21
.0040000002,.0040000002,21
0,0,21
.046,.046,21
0,0,21
.003,.003,21
.242,.242,21
.043000001,.043000001,21
.0020000001,.0020000001,21
.07,.07,21
.003,.003,21
.018999999,.018999999,21
.61900002,.61900002,21
.022,.022,21
.456,.456,21
.35100001,.35100001,21
0,0,21
.77899998,.77899998,21
.221,.221,21
0,0,21
.46599999,.46599999,21
.012,.012,21
.034000002,.034000002,21
0,0,21
.015,.015,21
.35100001,.35100001,21
.456,.456,21
.80500001,.80500001,21
.07,.07,21
.221,.221,21
.041999999,.041999999,21
0,0,21
.050999999,.050999999,21
.61900002,.61900002,21
.044,.044,21
.46599999,.46599999,21
.0060000001,.0060000001,21
.456,.456,21
.0020000001,.0020000001,21
.491,.491,21
.02,.02,21
.242,.242,21
.435,.435,21
.046,.046,21
.41,.41,21
.0089999996,.0089999996,21
.044,.044,21
.53899997,.53899997,21
.02,.02,21
0,0,21
.77899998,.77899998,21
.0020000001,.0020000001,22
.0089999996,.0089999996,22
.0020000001,.0020000001,22
.0020000001,.0020000001,22
.017999999,.017999999,22
.0020000001,.0020000001,22
.0089999996,.0089999996,22
.25600001,.25600001,22
.25600001,.25600001,22
.0020000001,.0020000001,22
.25600001,.25600001,22
.0020000001,.0020000001,22
.64399999,.64399999,23
0,0,23
.83200002,.83200002,23
.449,.449,23
.003,.003,23
0,0,23
.116,.116,23
.63099998,.63099998,23
.021,.021,23
.0089999996,.0089999996,23
.206,.206,23
.18000001,.18000001,23
.83200002,.83200002,23
.23899999,.23899999,23
.025,.025,23
.375,.375,23
.103,.103,23
.103,.103,23
.546,.546,23
.414,.414,23
.064000003,.064000003,23
.414,.414,23
.72100002,.72100002,23
.72100002,.72100002,23
.546,.546,23
.90200001,.90200001,23
.0020000001,.0020000001,23
.449,.449,23
.90200001,.90200001,23
.54000002,.54000002,23
.021,.021,23
.75099999,.75099999,23
.003,.003,23
.090999998,.090999998,23
0,0,23
.54000002,.54000002,23
.75099999,.75099999,23
.026000001,.026000001,23
.001,.001,23
.62599999,.62599999,23
.375,.375,23
.18000001,.18000001,23
.64399999,.64399999,23
.001,.001,23
0,0,23
.0020000001,.0020000001,23
.206,.206,23
.026000001,.026000001,23
.23899999,.23899999,23
.081,.081,23
.0089999996,.0089999996,23
.090999998,.090999998,23
0,0,23
.63099998,.63099998,23
.116,.116,23
0,0,23
.081,.081,23
.064000003,.064000003,23
.62599999,.62599999,23
.025,.025,23
.015,.015,24
.0060000001,.0060000001,24
.015,.015,24
.0060000001,.0060000001,24
.0080000004,.0080000004,24
.0020000001,.0020000001,24
.029999999,.029999999,24
.003,.003,24
.0020000001,.0020000001,24
.0080000004,.0080000004,24
.0060000001,.0060000001,24
